1/18/2000 2:30,200001180230,00.02,003,,010,06.91,001,,010,,010,,010,,010,,010,1013.00,001,,010,296.10,001,01.91,001,,,,,,,,,,,,,,,,,,
1/18/2000 3:00,200001180300,00.02,003,,010,06.80,001,,010,,010,,010,,010,,010,1013.00,001,,010,294.25,001,01.90,001,,,,,,,,,,,,,,,,,,
1/18/2000 3:30,200001180330,00.02,003,,010,06.30,001,,010,,010,,010,,010,,010,1013.00,001,,010,287.35,001,02.23,001,,,,,,,,,,,,,,,,,,
1/18/2000 4:00,200001180400,00.02,003,,010,06.06,001,,010,,010,,010,,010,,010,1013.00,001,,010,292.05,001,02.00,001,,,,,,,,,,,,,,,,,,
1/18/2000 4:30,200001180430,00.02,003,,010,05.73,001,,010,,010,,010,,010,,010,1013.00,001,,010,281.10,001,02.10,001,,,,,,,,,,,,,,,,,,
1/18/2000 5:00,200001180500,00.02,003,,010,05.27,001,,010,,010,,010,,010,,010,1013.50,001,,010,271.10,001,02.05,001,,,,,,,,,,,,,,,,,,
1/18/2000 5:30,200001180530,00.02,003,,010,05.03,001,,010,,010,,010,,010,,010,1013.50,001,,010,268.30,001,01.87,001,,,,,,,,,,,,,,,,,,
1/18/2000 6:00,200001180600,00.02,003,,010,05.19,001,,010,,010,,010,,010,,010,1013.00,001,,010,245.65,001,01.69,001,,,,,,,,,,,,,,,,,,
1/18/2000 6:30,200001180630,00.02,003,,010,05.16,001,,010,,010,,010,,010,,010,1013.50,001,,010,264.95,001,01.20,001,,,,,,,,,,,,,,,,,,
1/18/2000 7:00,200001180700,00.02,003,,010,04.92,001,,010,,010,,010,,010,,010,1013.00,001,,010,305.25,001,01.64,001,,,,,,,,,,,,,,,,,,
1/18/2000 7:30,200001180730,00.02,003,,010,04.86,001,,010,,010,,010,,010,,010,1013.50,001,,010,291.45,001,01.34,001,,,,,,,,,,,,,,,,,,
1/18/2000 8:00,200001180800,00.02,003,,010,04.93,001,,010,,010,,010,,010,,010,1014.00,001,,010,281.50,001,01.43,001,,,,,,,,,,,,,,,,,,
1/18/2000 8:30,200001180830,00.02,003,,010,04.84,001,,010,,010,,010,,010,,010,1013.00,001,,010,307.55,001,02.04,001,,,,,,,,,,,,,,,,,,
1/18/2000 9:00,200001180900,06.70,001,,010,05.58,001,,010,,010,,010,,010,,010,1013.00,001,,010,312.00,001,01.90,001,,,,,,,,,,,,,,,,,,
1/18/2000 9:30,200001180930,23.64,001,,010,06.11,001,,010,,010,,010,,010,,010,1014.00,001,,010,300.55,001,01.49,001,,,,,,,,,,,,,,,,,,
1/18/2000 10:00,200001181000,32.11,001,,010,06.67,001,,010,,010,,010,,010,,010,1014.00,001,,010,289.10,001,01.38,001,,,,,,,,,,,,,,,,,,
1/18/2000 10:30,200001181030,16.33,001,,010,06.55,001,,010,,010,,010,,010,,010,1014.00,001,,010,203.05,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 11:00,200001181100,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,232.95,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 11:30,200001181130,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.50,001,,010,202.92,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 12:00,200001181200,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.50,001,,010,329.40,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 12:30,200001181230,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,187.00,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 13:00,200001181300,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,244.10,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 13:30,200001181330,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,333.25,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 14:00,200001181400,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,245.05,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 14:30,200001181430,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,255.35,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 15:00,200001181500,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,246.20,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 15:30,200001181530,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,261.45,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 16:00,200001181600,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,260.70,001,,010,,,,,,,,,,,,,,,,,,
1/18/2000 16:30,200001181630,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,278.30,001,01.69,001,,,,,,,,,,,,,,,,,,
1/18/2000 17:00,200001181700,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,263.55,001,02.89,001,,,,,,,,,,,,,,,,,,
1/18/2000 17:30,200001181730,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,259.00,001,03.53,001,,,,,,,,,,,,,,,,,,
1/18/2000 18:00,200001181800,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,270.85,001,02.78,001,,,,,,,,,,,,,,,,,,
1/18/2000 18:30,200001181830,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,291.40,001,03.36,001,,,,,,,,,,,,,,,,,,
1/18/2000 19:00,200001181900,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,280.45,001,02.89,001,,,,,,,,,,,,,,,,,,
1/18/2000 19:30,200001181930,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,287.80,001,02.24,001,,,,,,,,,,,,,,,,,,
1/18/2000 20:00,200001182000,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,287.85,001,02.05,001,,,,,,,,,,,,,,,,,,
1/18/2000 20:30,200001182030,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,301.75,001,01.84,001,,,,,,,,,,,,,,,,,,
1/18/2000 21:00,200001182100,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,289.95,001,01.52,001,,,,,,,,,,,,,,,,,,
1/18/2000 21:30,200001182130,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,300.10,001,01.15,001,,,,,,,,,,,,,,,,,,
1/18/2000 22:00,200001182200,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,288.15,001,01.79,001,,,,,,,,,,,,,,,,,,
1/18/2000 22:30,200001182230,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,304.05,001,01.06,001,,,,,,,,,,,,,,,,,,
1/18/2000 23:00,200001182300,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,313.65,001,01.15,001,,,,,,,,,,,,,,,,,,
1/18/2000 23:30,200001182330,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,303.55,001,01.92,001,,,,,,,,,,,,,,,,,,
1/19/2000 0:00,200001190000,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,307.05,001,01.59,001,,,,,,,,,,,,,,,,,,
1/19/2000 0:30,200001190030,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,304.65,001,00.71,001,,,,,,,,,,,,,,,,,,
1/19/2000 1:00,200001190100,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,151.15,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 1:30,200001190130,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.50,001,,010,128.60,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 2:00,200001190200,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,296.55,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 2:30,200001190230,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,286.10,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 3:00,200001190300,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,293.40,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 3:30,200001190330,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,298.90,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 4:00,200001190400,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,216.25,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 4:30,200001190430,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,122.55,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 5:00,200001190500,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,130.15,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 5:30,200001190530,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,129.75,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 6:00,200001190600,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,159.50,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 6:30,200001190630,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,169.40,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 7:00,200001190700,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,178.65,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 7:30,200001190730,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,180.40,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 8:00,200001190800,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,185.95,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 8:30,200001190830,00.02,003,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,178.80,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 9:00,200001190900,13.67,001,,010,,010,,010,,010,,010,,010,,010,1016.00,001,,010,190.40,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 9:30,200001190930,36.42,001,,010,,010,,010,,010,,010,,010,,010,1015.50,001,,010,190.05,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 10:00,200001191000,47.00,001,,010,,010,,010,,010,,010,,010,,010,1016.00,001,,010,205.45,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 10:30,200001191030,92.60,001,,010,,010,,010,,010,,010,,010,,010,1016.00,001,,010,240.20,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 11:00,200001191100,122.95,001,,010,,010,,010,,010,,010,,010,,010,1015.50,001,,010,182.05,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 11:30,200001191130,147.55,001,,010,,010,,010,,010,,010,,010,,010,1016.00,001,,010,167.15,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 12:00,200001191200,175.25,001,,010,,010,,010,,010,,010,,010,,010,1015.50,001,,010,190.20,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 12:30,200001191230,175.40,001,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,192.95,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 13:00,200001191300,139.65,001,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,193.95,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 13:30,200001191330,150.65,001,,010,,010,,010,,010,,010,,010,,010,1015.00,001,,010,205.55,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 14:00,200001191400,134.35,001,,010,,010,,010,,010,,010,,010,,010,1014.50,001,,010,197.85,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 14:30,200001191430,95.10,001,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,135.27,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 15:00,200001191500,50.22,001,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,152.68,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 15:30,200001191530,34.11,001,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,158.43,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 16:00,200001191600,14.40,001,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,162.83,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 16:30,200001191630,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,266.95,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 17:00,200001191700,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,261.35,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 17:30,200001191730,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,251.60,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 18:00,200001191800,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,250.10,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 18:30,200001191830,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,254.50,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 19:00,200001191900,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,255.70,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 19:30,200001191930,00.02,003,,010,,010,,010,,010,,010,,010,,010,1014.00,001,,010,258.45,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 20:00,200001192000,00.02,003,,010,,010,,010,,010,,010,,010,,010,1013.00,001,,010,253.35,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 20:30,200001192030,00.02,003,,010,,010,,010,,010,,010,,010,,010,1013.00,001,,010,255.45,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 21:00,200001192100,00.02,003,,010,,010,,010,,010,,010,,010,,010,1013.00,001,,010,260.00,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 21:30,200001192130,00.02,003,,010,,010,,010,,010,,010,,010,,010,1013.00,001,,010,252.95,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 22:00,200001192200,00.02,003,,010,,010,,010,,010,,010,,010,,010,1012.00,001,,010,247.65,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 22:30,200001192230,00.02,003,,010,,010,,010,,010,,010,,010,,010,1012.00,001,,010,168.29,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 23:00,200001192300,00.02,003,,010,,010,,010,,010,,010,,010,,010,1012.00,001,,010,264.10,001,,010,,,,,,,,,,,,,,,,,,
1/19/2000 23:30,200001192330,00.02,003,,010,,010,,010,,010,,010,,010,,010,1012.00,001,,010,253.50,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 0:00,200001200000,00.02,003,,010,,010,,010,,010,,010,,010,,010,1011.00,001,,010,258.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 0:30,200001200030,00.02,003,,010,,010,,010,,010,,010,,010,,010,1011.00,001,,010,244.85,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 1:00,200001200100,00.02,003,,010,,010,,010,,010,,010,,010,,010,1011.00,001,,010,102.48,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 1:30,200001200130,00.02,003,,010,,010,,010,,010,,010,,010,,010,1011.00,001,,010,74.50,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 2:00,200001200200,00.02,003,,010,,010,,010,,010,,010,,010,,010,1010.00,001,,010,71.71,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 2:30,200001200230,00.02,003,,010,,010,,010,,010,,010,,010,,010,1010.00,001,,010,74.60,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 3:00,200001200300,00.02,003,,010,,010,,010,,010,,010,,010,,010,1010.00,001,,010,74.00,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 3:30,200001200330,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.50,001,,010,81.00,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 4:00,200001200400,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,74.35,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 4:30,200001200430,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,73.20,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 5:00,200001200500,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,69.92,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 5:30,200001200530,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,73.30,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 6:00,200001200600,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.00,001,,010,76.14,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 6:30,200001200630,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.00,001,,010,84.90,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 7:00,200001200700,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.00,001,,010,90.90,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 7:30,200001200730,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.50,001,,010,215.25,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 8:00,200001200800,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.50,001,,010,275.85,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 8:30,200001200830,00.02,003,,010,,010,,010,,010,,010,,010,,010,1008.00,001,,010,275.30,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 9:00,200001200900,05.83,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,260.25,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 9:30,200001200930,17.85,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,281.10,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 10:00,200001201000,32.12,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,280.65,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 10:30,200001201030,76.40,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,283.35,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 11:00,200001201100,93.55,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,281.95,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 11:30,200001201130,153.40,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,281.00,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 12:00,200001201200,202.80,001,,010,,010,,010,,010,,010,,010,,010,1008.00,001,,010,278.10,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 12:30,200001201230,209.90,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,279.55,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 13:00,200001201300,218.30,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,292.10,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 13:30,200001201330,143.25,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,293.10,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 14:00,200001201400,153.05,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,288.75,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 14:30,200001201430,133.30,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,290.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 15:00,200001201500,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,295.75,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 15:30,200001201530,00.02,003,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,241.95,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 16:00,200001201600,15.28,001,,010,,010,,010,,010,,010,,010,,010,1009.00,001,,010,280.70,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 16:30,200001201630,00.02,003,,010,04.20,001,,010,,010,,010,,010,,010,1009.00,001,,010,285.30,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 17:00,200001201700,00.02,003,,010,04.14,001,,010,,010,,010,,010,,010,1009.50,001,,010,290.90,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 17:30,200001201730,00.02,003,,010,04.32,001,,010,,010,,010,,010,,010,1010.00,001,,010,292.20,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 18:00,200001201800,00.02,003,,010,04.51,001,,010,,010,,010,,010,,010,1010.00,001,,010,287.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 18:30,200001201830,00.02,003,,010,04.26,001,,010,,010,,010,,010,,010,1010.00,001,,010,280.20,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 19:00,200001201900,00.02,003,,010,04.15,001,,010,,010,,010,,010,,010,1010.50,001,,010,278.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 19:30,200001201930,00.02,003,,010,03.62,001,,010,,010,,010,,010,,010,1011.00,001,,010,275.75,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 20:00,200001202000,00.02,003,,010,03.52,001,,010,,010,,010,,010,,010,1011.00,001,,010,275.70,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 20:30,200001202030,00.02,003,,010,03.79,001,,010,,010,,010,,010,,010,1011.00,001,,010,271.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 21:00,200001202100,00.02,003,,010,03.66,001,,010,,010,,010,,010,,010,1011.00,001,,010,280.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 21:30,200001202130,00.02,003,,010,04.21,001,,010,,010,,010,,010,,010,1011.00,001,,010,281.95,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 22:00,200001202200,00.02,003,,010,03.89,001,,010,,010,,010,,010,,010,1011.00,001,,010,277.95,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 22:30,200001202230,00.02,003,,010,03.91,001,,010,,010,,010,,010,,010,1011.00,001,,010,268.15,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 23:00,200001202300,00.02,003,,010,03.56,001,,010,,010,,010,,010,,010,1011.00,001,,010,278.10,001,,010,,,,,,,,,,,,,,,,,,
1/20/2000 23:30,200001202330,00.02,003,,010,03.11,001,,010,,010,,010,,010,,010,1011.00,001,,010,278.80,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 0:00,200001210000,00.02,003,,010,03.25,001,,010,,010,,010,,010,,010,1011.00,001,,010,276.65,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 0:30,200001210030,00.02,003,,010,03.37,001,,010,,010,,010,,010,,010,1011.00,001,,010,277.95,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 1:00,200001210100,00.02,003,,010,03.16,001,,010,,010,,010,,010,,010,1011.00,001,,010,278.15,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 1:30,200001210130,00.02,003,,010,02.68,001,,010,,010,,010,,010,,010,1011.00,001,,010,277.65,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 2:00,200001210200,00.02,003,,010,02.91,001,,010,,010,,010,,010,,010,1011.00,001,,010,287.25,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 2:30,200001210230,00.02,003,,010,02.72,001,,010,,010,,010,,010,,010,1011.00,001,,010,275.35,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 3:00,200001210300,00.02,003,,010,02.55,001,,010,,010,,010,,010,,010,1011.00,001,,010,282.60,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 3:30,200001210330,00.02,003,,010,02.94,001,,010,,010,,010,,010,,010,1010.00,001,,010,284.60,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 4:00,200001210400,00.02,003,,010,03.14,001,,010,,010,,010,,010,,010,1010.00,001,,010,291.60,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 4:30,200001210430,00.02,003,,010,02.85,001,,010,,010,,010,,010,,010,1010.00,001,,010,133.50,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 5:00,200001210500,00.02,003,,010,02.25,001,,010,,010,,010,,010,,010,1010.00,001,,010,207.30,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 5:30,200001210530,00.02,003,,010,01.52,001,,010,,010,,010,,010,,010,1010.00,001,,010,179.55,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 6:00,200001210600,00.02,003,,010,00.44,001,,010,,010,,010,,010,,010,1010.00,001,,010,175.20,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 6:30,200001210630,00.02,003,,010,-00.10,001,,010,,010,,010,,010,,010,1010.50,001,,010,165.30,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 7:00,200001210700,00.02,003,,010,-00.15,001,,010,,010,,010,,010,,010,1011.00,001,,010,161.95,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 7:30,200001210730,00.02,003,,010,-00.46,001,,010,,010,,010,,010,,010,1011.00,001,,010,171.70,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 8:00,200001210800,00.02,003,,010,00.58,001,,010,,010,,010,,010,,010,1011.00,001,,010,186.35,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 8:30,200001210830,00.02,003,,010,-00.46,001,,010,,010,,010,,010,,010,1011.00,001,,010,194.70,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 9:00,200001210900,07.73,001,,010,-01.10,001,,010,,010,,010,,010,,010,1011.00,001,,010,198.50,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 9:30,200001210930,18.03,001,,010,-01.20,001,,010,,010,,010,,010,,010,1011.00,001,,010,199.20,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 10:00,200001211000,40.36,001,,010,-00.86,001,,010,,010,,010,,010,,010,1011.00,001,,010,206.50,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 10:30,200001211030,59.30,001,,010,-00.63,001,,010,,010,,010,,010,,010,1011.00,001,,010,194.60,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 11:00,200001211100,134.10,001,,010,00.09,001,,010,,010,,010,,010,,010,1011.00,001,,010,192.25,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 11:30,200001211130,205.35,001,,010,01.32,001,,010,,010,,010,,010,,010,1011.00,001,,010,200.95,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 12:00,200001211200,194.35,001,,010,01.74,001,,010,,010,,010,,010,,010,1010.00,001,,010,189.85,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 12:30,200001211230,212.55,001,,010,02.50,001,,010,,010,,010,,010,,010,1010.00,001,,010,193.85,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 13:00,200001211300,205.15,001,,010,03.36,001,,010,,010,,010,,010,,010,1009.00,001,,010,216.20,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 13:30,200001211330,211.50,001,,010,03.73,001,,010,,010,,010,,010,,010,1009.00,001,,010,199.56,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 14:00,200001211400,149.55,001,,010,03.21,001,,010,,010,,010,,010,,010,1008.50,001,,010,248.70,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 14:30,200001211430,84.60,001,,010,03.13,001,,010,,010,,010,,010,,010,1008.00,001,,010,255.55,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 15:00,200001211500,55.59,001,,010,03.17,001,,010,,010,,010,,010,,010,1008.00,001,,010,247.50,001,,010,,,,,,,,,,,,,,,,,,
1/21/2000 15:30,200001211530,41.80,001,,010,03.02,001,,010,,010,,010,,010,,010,1007.50,001,,010,252.60,001,,010,,,,,,,,,,,,,,,,,,
