12/10/2012 23:00,201212102300,00.02,003,-00.35,001,-01.04,001,-00.58,001,84.35,001,74.93,001,00.00,001,00.00,001,1008.00,001,1007.24,001,176.78,001,00.73,001,,,,,,,,,,,,,,,,,,
12/10/2012 23:30,201212102330,00.02,003,-00.83,001,-01.64,001,-01.01,001,85.10,001,75.32,001,00.00,001,00.00,001,1008.00,001,1007.32,001,203.61,001,00.79,001,,,,,,,,,,,,,,,,,,
12/11/2012 0:00,201212110000,00.02,003,-01.68,001,-02.24,001,-01.84,001,89.85,001,79.47,001,00.00,001,00.00,001,1008.00,001,1007.48,001,205.22,001,01.19,001,,,,,,,,,,,,,,,,,,
12/11/2012 0:30,201212110030,00.02,003,-01.71,001,-02.33,001,,010,89.35,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 1:00,201212110100,00.02,003,-02.03,001,-02.60,001,,010,89.45,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 1:30,201212110130,00.02,003,-02.24,001,-02.82,001,,010,90.35,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 2:00,201212110200,00.02,003,-02.62,001,-03.18,001,,010,91.55,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 2:30,201212110230,00.02,003,-02.79,001,-03.34,001,,010,91.60,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 3:00,201212110300,00.02,003,-03.03,001,-03.55,001,,010,92.10,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 3:30,201212110330,00.02,003,-02.92,001,-03.47,001,,010,91.85,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 4:00,201212110400,00.02,003,-03.18,001,-03.73,001,,010,92.05,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 4:30,201212110430,00.02,003,-03.22,001,-03.74,001,,010,92.35,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 5:00,201212110500,00.02,003,-03.33,001,-03.93,001,,010,91.70,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 5:30,201212110530,00.02,003,-03.50,001,-04.02,001,,010,92.55,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 6:00,201212110600,00.02,003,-03.52,001,-04.04,001,,010,92.45,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 6:30,201212110630,00.02,003,-03.32,001,-03.86,001,,010,92.00,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 7:00,201212110700,00.02,003,-03.47,001,-03.99,001,,010,92.30,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 7:30,201212110730,00.02,003,-03.84,001,-04.37,001,,010,93.30,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 8:00,201212110800,00.02,003,-03.98,001,-04.48,001,,010,93.80,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 8:30,201212110830,00.02,003,-04.10,001,-04.62,001,,010,93.90,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 9:00,201212110900,07.37,001,-03.64,001,-04.14,001,,010,93.00,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 9:30,201212110930,21.45,001,-03.50,001,-04.00,001,,010,92.25,001,,010,00.00,001,,010,1008.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
12/11/2012 10:00,201212111000,81.05,001,-03.15,001,-03.62,001,-03.55,001,90.50,001,80.84,001,00.00,001,,010,1008.00,001,,010,,010,01.67,001,,,,,,,,,,,,,,,,,,
12/11/2012 10:30,201212111030,116.35,001,-02.30,001,-02.77,001,-02.73,001,87.35,001,78.53,001,00.00,001,00.00,001,1008.00,001,1006.85,001,187.87,001,01.59,001,,,,,,,,,,,,,,,,,,
12/11/2012 11:00,201212111100,162.40,001,-01.07,001,-01.54,001,-01.49,001,84.45,001,76.15,001,00.00,001,00.00,001,1008.00,001,1006.86,001,194.74,001,01.55,001,,,,,,,,,,,,,,,,,,
12/11/2012 11:30,201212111130,196.30,001,-00.02,001,-00.55,001,-00.41,001,82.05,001,73.98,001,00.00,001,00.00,001,1007.00,001,1006.59,001,187.43,001,01.55,001,,,,,,,,,,,,,,,,,,
12/11/2012 12:00,201212111200,195.90,001,00.68,001,00.14,001,00.18,001,80.25,001,72.69,001,00.00,001,00.00,001,1007.00,001,1006.33,001,190.02,001,01.45,001,,,,,,,,,,,,,,,,,,
12/11/2012 12:30,201212111230,166.90,001,01.41,001,00.86,001,00.86,001,78.35,001,71.18,001,00.00,001,00.00,001,1007.00,001,1005.99,001,186.97,001,01.31,001,,,,,,,,,,,,,,,,,,
12/11/2012 13:00,201212111300,161.75,001,01.63,001,01.11,001,01.16,001,78.25,001,70.85,001,00.00,001,00.00,001,1006.00,001,1005.62,001,197.62,001,01.55,001,,,,,,,,,,,,,,,,,,
12/11/2012 13:30,201212111330,152.35,001,01.98,001,01.44,001,01.56,001,77.10,001,69.83,001,00.00,001,00.00,001,1006.00,001,1005.36,001,201.85,001,01.67,001,,,,,,,,,,,,,,,,,,
12/11/2012 14:00,201212111400,102.80,001,01.70,001,01.14,001,01.43,001,78.80,001,70.62,001,00.00,001,00.00,001,1006.00,001,1005.17,001,198.13,001,01.42,001,,,,,,,,,,,,,,,,,,
12/11/2012 14:30,201212111430,75.00,001,01.13,001,00.56,001,00.85,001,82.15,001,73.32,001,00.00,001,00.00,001,1006.00,001,1004.89,001,192.11,001,01.36,001,,,,,,,,,,,,,,,,,,
12/11/2012 15:00,201212111500,53.84,001,01.67,001,00.70,001,00.84,001,80.00,001,73.91,001,00.00,001,00.00,001,1005.00,001,1004.56,001,151.96,001,00.58,001,,,,,,,,,,,,,,,,,,
12/11/2012 15:30,201212111530,12.14,001,00.35,001,-00.44,001,00.07,001,85.90,001,76.93,001,00.00,001,00.00,001,1005.00,001,1004.37,001,135.88,001,00.53,001,,,,,,,,,,,,,,,,,,
12/11/2012 16:00,201212111600,00.02,003,-00.55,001,-01.31,001,-00.63,001,90.40,001,79.89,001,00.00,001,00.00,001,1005.00,001,1004.18,001,192.19,001,00.48,001,,,,,,,,,,,,,,,,,,
12/11/2012 16:30,201212111630,00.02,003,-01.11,001,-01.85,001,-01.38,001,92.30,001,82.22,001,00.00,001,00.00,001,1005.00,001,1003.94,001,,010,00.53,001,,,,,,,,,,,,,,,,,,
12/11/2012 17:00,201212111700,00.02,003,-01.70,001,-02.36,001,-01.83,001,93.20,001,82.32,001,00.00,001,00.00,001,1004.50,001,1003.72,001,201.17,001,00.75,001,,,,,,,,,,,,,,,,,,
12/11/2012 17:30,201212111730,00.02,003,-01.91,001,-02.55,001,-02.14,001,93.55,001,83.11,001,00.00,001,00.00,001,1004.00,001,1003.41,001,188.34,001,00.78,001,,,,,,,,,,,,,,,,,,
12/11/2012 18:00,201212111800,00.02,003,-02.21,001,-02.77,001,-02.39,001,93.10,001,82.36,001,00.00,001,00.00,001,1004.00,001,1003.24,001,193.30,001,01.05,001,,,,,,,,,,,,,,,,,,
12/11/2012 18:30,201212111830,00.02,003,-02.29,001,-02.84,001,-02.47,001,91.40,001,80.90,001,00.00,001,00.00,001,1004.00,001,1003.02,001,201.75,001,01.13,001,,,,,,,,,,,,,,,,,,
12/11/2012 19:00,201212111900,00.02,003,-02.42,001,-03.01,001,-02.62,001,91.30,001,80.74,001,00.00,001,00.00,001,1003.50,001,1002.75,001,195.33,001,00.79,001,,,,,,,,,,,,,,,,,,
12/11/2012 19:30,201212111930,00.02,003,-02.64,001,-03.22,001,-02.83,001,90.80,001,80.18,001,00.00,001,00.00,001,1003.00,001,1002.54,001,205.82,001,00.95,001,,,,,,,,,,,,,,,,,,
12/11/2012 20:00,201212112000,00.02,003,-02.27,001,-02.88,001,-02.64,001,87.25,001,77.60,001,00.00,001,00.00,001,1003.00,001,1002.18,001,216.72,001,00.68,001,,,,,,,,,,,,,,,,,,
12/11/2012 20:30,201212112030,00.02,003,-01.29,001,-01.98,001,-01.59,001,80.35,001,71.22,001,00.00,001,00.00,001,1002.50,001,1001.78,001,229.94,001,00.53,001,,,,,,,,,,,,,,,,,,
12/11/2012 21:00,201212112100,00.02,003,-00.97,001,-01.64,001,-01.23,001,77.85,001,68.78,001,00.00,001,00.00,001,1002.00,001,1001.58,001,219.09,001,00.51,001,,,,,,,,,,,,,,,,,,
12/11/2012 21:30,201212112130,00.02,003,-00.08,001,-00.76,001,-00.36,001,73.05,001,64.90,001,00.00,001,00.00,001,1002.00,001,1001.40,001,244.75,001,00.58,001,,,,,,,,,,,,,,,,,,
12/11/2012 22:00,201212112200,00.02,003,00.18,001,-00.48,001,-00.05,001,72.65,001,64.30,001,00.00,001,00.00,001,1002.00,001,1001.10,001,288.29,001,00.63,001,,,,,,,,,,,,,,,,,,
12/11/2012 22:30,201212112230,00.02,003,00.07,001,-00.64,001,-00.16,001,73.65,001,65.02,001,00.00,001,00.00,001,1001.50,001,1000.82,001,310.32,001,00.52,001,,,,,,,,,,,,,,,,,,
12/11/2012 23:00,201212112300,00.02,003,00.21,001,-00.49,001,-00.04,001,75.05,001,66.33,001,00.00,001,00.00,001,1001.00,001,1000.60,001,288.82,001,00.55,001,,,,,,,,,,,,,,,,,,
12/11/2012 23:30,201212112330,00.02,003,-00.02,001,-00.77,001,-00.25,001,76.25,001,67.42,001,00.00,001,00.00,001,1001.00,001,1000.28,001,290.85,001,00.51,001,,,,,,,,,,,,,,,,,,
12/12/2012 0:00,201212120000,00.02,003,-00.03,001,-00.78,001,-00.33,001,74.15,001,65.70,001,00.00,001,00.00,001,1001.00,001,1000.00,001,282.35,001,00.55,001,,,,,,,,,,,,,,,,,,
12/12/2012 0:30,201212120030,00.02,003,00.50,001,-00.16,001,00.15,001,73.20,001,64.94,001,00.00,001,00.00,001,1000.00,001,999.66,001,278.14,001,00.48,001,,,,,,,,,,,,,,,,,,
12/12/2012 1:00,201212120100,00.02,003,00.32,001,-00.34,001,00.21,001,77.65,001,67.75,001,00.00,001,00.00,001,1000.00,001,999.40,001,216.66,001,00.62,001,,,,,,,,,,,,,,,,,,
12/12/2012 1:30,201212120130,00.02,003,00.07,001,-00.50,001,-00.11,001,82.10,001,72.50,001,00.00,001,00.00,001,1000.00,001,999.08,001,219.38,001,00.73,001,,,,,,,,,,,,,,,,,,
12/12/2012 2:00,201212120200,00.02,003,00.66,001,00.05,001,00.41,001,81.15,001,71.80,001,00.00,001,00.00,001,999.50,001,998.77,001,220.09,001,00.82,001,,,,,,,,,,,,,,,,,,
12/12/2012 2:30,201212120230,00.02,003,-00.03,001,-00.59,001,-00.08,001,84.85,001,74.63,001,00.00,001,00.00,001,999.00,001,998.45,001,208.61,001,00.95,001,,,,,,,,,,,,,,,,,,
12/12/2012 3:00,201212120300,00.02,003,-00.34,001,-00.90,001,-00.36,001,87.35,001,76.83,001,00.00,001,00.00,001,998.50,001,997.91,001,204.38,001,00.96,001,,,,,,,,,,,,,,,,,,
12/12/2012 3:30,201212120330,00.02,003,00.27,001,-00.29,001,00.06,001,87.50,001,77.83,001,00.00,001,00.00,001,998.00,001,997.33,001,215.38,001,00.93,001,,,,,,,,,,,,,,,,,,
12/12/2012 4:00,201212120400,00.02,003,-00.03,001,-00.54,001,-00.11,001,88.65,001,78.52,001,00.00,001,00.00,001,997.50,001,996.86,001,198.52,001,01.48,001,,,,,,,,,,,,,,,,,,
12/12/2012 4:30,201212120430,00.02,003,00.14,001,-00.39,001,00.01,001,88.60,001,78.59,001,00.00,001,00.00,001,997.00,001,996.56,001,204.79,001,01.12,001,,,,,,,,,,,,,,,,,,
12/12/2012 5:00,201212120500,00.02,003,00.29,001,-00.26,001,00.12,001,88.95,001,78.89,001,00.00,001,00.00,001,997.00,001,996.18,001,211.78,001,01.03,001,,,,,,,,,,,,,,,,,,
12/12/2012 5:30,201212120530,00.02,003,00.20,001,-00.35,001,00.05,001,90.10,001,79.74,001,00.00,001,00.00,001,996.50,001,995.82,001,207.15,001,01.17,001,,,,,,,,,,,,,,,,,,
12/12/2012 6:00,201212120600,00.02,003,00.30,001,-00.19,001,00.17,001,90.80,001,80.69,001,00.00,001,00.00,001,996.00,001,995.46,001,209.60,001,01.78,001,,,,,,,,,,,,,,,,,,
12/12/2012 6:30,201212120630,00.02,003,00.15,001,-00.40,001,00.03,001,92.00,001,81.75,001,00.00,001,00.00,001,996.00,001,995.11,001,207.73,001,01.16,001,,,,,,,,,,,,,,,,,,
12/12/2012 7:00,201212120700,00.02,003,00.05,001,-00.52,001,-00.05,001,92.90,001,82.45,001,00.00,001,00.00,001,996.00,001,994.95,001,208.10,001,01.08,001,,,,,,,,,,,,,,,,,,
12/12/2012 7:30,201212120730,00.02,003,-00.03,001,-00.57,001,-00.11,001,93.60,001,83.32,001,00.00,001,00.00,001,995.00,001,994.62,001,209.41,001,01.30,001,,,,,,,,,,,,,,,,,,
12/12/2012 8:00,201212120800,00.02,003,00.04,001,-00.57,001,-00.09,001,93.40,001,83.24,001,00.00,001,00.00,001,995.00,001,994.44,001,204.51,001,00.66,001,,,,,,,,,,,,,,,,,,
12/12/2012 8:30,201212120830,00.02,003,00.52,001,-00.15,001,00.27,001,92.35,001,82.41,001,00.00,001,00.00,001,995.00,001,994.32,001,211.63,001,00.63,001,,,,,,,,,,,,,,,,,,
12/12/2012 9:00,201212120900,04.85,001,00.18,001,-00.51,001,00.00,001,92.80,001,82.57,001,00.00,001,00.00,001,995.00,001,994.20,001,198.68,001,00.59,001,,,,,,,,,,,,,,,,,,
12/12/2012 9:30,201212120930,18.09,001,-00.14,001,-00.72,001,-00.27,001,94.25,001,83.92,001,00.00,001,00.00,001,995.00,001,994.05,001,205.97,001,00.84,001,,,,,,,,,,,,,,,,,,
12/12/2012 10:00,201212121000,38.59,001,00.90,001,00.31,001,00.53,001,92.65,001,83.43,001,00.00,001,00.00,001,995.00,001,993.86,001,253.66,001,00.69,001,,,,,,,,,,,,,,,,,,
12/12/2012 10:30,201212121030,45.06,001,01.61,001,01.00,001,01.31,001,90.80,001,81.65,001,00.00,001,00.00,001,994.00,001,993.69,001,297.86,001,00.66,001,,,,,,,,,,,,,,,,,,
12/12/2012 11:00,201212121100,49.83,001,01.98,001,01.37,001,01.74,001,89.45,001,80.29,001,00.00,001,00.00,001,994.00,001,993.42,001,279.18,001,00.64,001,,,,,,,,,,,,,,,,,,
12/12/2012 11:30,201212121130,84.85,001,01.48,001,00.90,001,01.27,001,89.70,001,80.33,001,00.00,001,00.00,001,994.00,001,993.03,001,64.03,001,01.31,001,,,,,,,,,,,,,,,,,,
12/12/2012 12:00,201212121200,58.52,001,00.98,001,00.44,001,00.79,001,91.70,001,82.06,001,00.00,001,00.00,001,993.00,001,992.74,001,204.07,001,01.18,001,,,,,,,,,,,,,,,,,,
12/12/2012 12:30,201212121230,60.45,001,01.06,001,00.55,001,00.89,001,91.90,001,82.12,001,00.00,001,00.00,001,993.00,001,992.32,001,213.59,001,01.31,001,,,,,,,,,,,,,,,,,,
12/12/2012 13:00,201212121300,61.78,001,01.26,001,00.76,001,01.09,001,90.95,001,81.38,001,00.00,001,00.00,001,993.00,001,991.93,001,205.76,001,01.61,001,,,,,,,,,,,,,,,,,,
12/12/2012 13:30,201212121330,53.19,001,01.46,001,00.95,001,01.28,001,89.65,001,80.29,001,,010,00.01,001,992.00,001,991.58,001,210.13,001,01.42,001,,,,,,,,,,,,,,,,,,
12/12/2012 14:00,201212121400,46.78,001,01.39,001,00.82,001,01.22,001,88.45,001,79.09,001,00.00,001,00.00,001,992.00,001,991.21,001,219.69,001,01.14,001,,,,,,,,,,,,,,,,,,
12/12/2012 14:30,201212121430,61.81,001,01.07,001,00.52,001,00.85,001,90.70,001,81.26,001,00.00,001,00.00,001,991.50,001,990.86,001,195.78,001,01.33,001,,,,,,,,,,,,,,,,,,
12/12/2012 15:00,201212121500,40.44,001,01.03,001,00.49,001,00.85,001,91.40,001,81.84,001,00.00,001,00.00,001,991.00,001,990.53,001,198.21,001,01.50,001,,,,,,,,,,,,,,,,,,
12/12/2012 15:30,201212121530,12.07,001,00.74,001,00.24,001,00.60,001,93.15,001,83.17,001,00.00,001,00.00,001,991.00,001,990.18,001,208.09,001,02.19,001,,,,,,,,,,,,,,,,,,
12/12/2012 16:00,201212121600,00.02,003,00.60,001,00.09,001,00.44,001,91.85,001,82.00,001,00.00,001,00.00,001,991.00,001,989.96,001,212.63,001,02.08,001,,,,,,,,,,,,,,,,,,
12/12/2012 16:30,201212121630,00.02,003,00.29,001,-00.22,001,00.13,001,91.00,001,81.04,001,00.00,001,00.00,001,990.50,001,989.84,001,209.92,001,01.84,001,,,,,,,,,,,,,,,,,,
12/12/2012 17:00,201212121700,00.02,003,00.10,001,-00.40,001,-00.02,001,91.90,001,81.86,001,00.00,001,00.00,001,990.00,001,989.56,001,202.72,001,02.50,001,,,,,,,,,,,,,,,,,,
12/12/2012 17:30,201212121730,00.02,003,-00.13,001,-00.62,001,-00.21,001,94.25,001,84.16,001,00.00,001,00.00,001,990.00,001,989.38,001,213.08,001,02.31,001,,,,,,,,,,,,,,,,,,
12/12/2012 18:00,201212121800,00.02,003,-00.36,001,-00.84,001,-00.43,001,93.25,001,83.14,001,00.00,001,00.00,001,990.00,001,989.14,001,208.89,001,02.49,001,,,,,,,,,,,,,,,,,,
12/12/2012 18:30,201212121830,00.02,003,-00.33,001,-00.83,001,-00.41,001,97.15,001,86.26,001,00.00,001,00.00,001,990.00,001,988.89,001,213.35,001,01.98,001,,,,,,,,,,,,,,,,,,
12/12/2012 19:00,201212121900,00.02,003,-00.71,001,-01.32,001,-00.77,001,93.90,001,83.48,001,00.00,001,00.00,001,989.00,001,988.53,001,233.80,001,01.07,001,,,,,,,,,,,,,,,,,,
12/12/2012 19:30,201212121930,00.02,003,-01.80,001,-02.46,001,-01.90,001,89.05,001,78.08,001,00.00,001,00.00,001,989.00,001,988.40,001,235.27,001,00.73,001,,,,,,,,,,,,,,,,,,
12/12/2012 20:00,201212122000,00.02,003,-01.98,001,-02.54,001,-02.10,001,86.75,001,76.05,001,00.00,001,00.00,001,989.00,001,988.24,001,207.71,001,01.12,001,,,,,,,,,,,,,,,,,,
12/12/2012 20:30,201212122030,00.02,003,-01.80,001,-02.36,001,-01.97,001,86.95,001,76.76,001,00.00,001,00.00,001,989.00,001,987.97,001,208.90,001,01.05,001,,,,,,,,,,,,,,,,,,
12/12/2012 21:00,201212122100,00.02,003,-01.02,001,-01.53,001,-01.25,001,88.05,001,78.33,001,00.00,001,00.00,001,988.00,001,987.73,001,195.56,001,01.16,001,,,,,,,,,,,,,,,,,,
12/12/2012 21:30,201212122130,00.02,003,-00.31,001,-00.99,001,-00.44,001,90.40,001,80.44,001,00.00,001,00.00,001,988.00,001,987.62,001,237.60,001,00.57,001,,,,,,,,,,,,,,,,,,
12/12/2012 22:00,201212122200,00.02,003,-00.69,001,-01.37,001,-00.80,001,92.75,001,82.22,001,00.00,001,00.00,001,988.00,001,987.36,001,326.39,001,00.57,001,,,,,,,,,,,,,,,,,,
12/12/2012 22:30,201212122230,00.02,003,-00.77,001,-01.37,001,-00.98,001,95.95,001,85.66,001,00.00,001,00.00,001,988.00,001,987.15,001,18.42,001,00.90,001,,,,,,,,,,,,,,,,,,
12/12/2012 23:00,201212122300,00.02,003,-00.92,001,-01.56,001,-01.11,001,99.40,001,88.49,001,00.00,001,00.00,001,988.00,001,986.89,001,81.96,001,00.55,001,,,,,,,,,,,,,,,,,,
12/12/2012 23:30,201212122330,00.02,003,-01.14,001,-01.81,001,-01.20,001,99.95,001,88.61,001,00.00,001,00.00,001,987.00,001,986.67,001,213.48,001,00.45,001,,,,,,,,,,,,,,,,,,
12/13/2012 0:00,201212130000,00.02,003,-01.27,001,-01.89,001,-01.35,001,100.40,002,88.43,002,00.00,001,00.00,001,987.00,001,986.47,001,205.35,001,00.67,001,,,,,,,,,,,,,,,,,,
12/13/2012 0:30,201212130030,00.02,003,-01.10,001,-01.75,001,-01.22,001,100.55,002,88.28,002,00.00,001,00.00,001,987.00,001,986.14,001,263.72,001,00.50,001,,,,,,,,,,,,,,,,,,
12/13/2012 1:00,201212130100,00.02,003,-00.98,001,-01.68,001,-01.03,001,100.05,002,87.08,002,00.00,001,00.00,001,986.50,001,985.82,001,210.02,001,00.39,001,,,,,,,,,,,,,,,,,,
12/13/2012 1:30,201212130130,00.02,003,-00.83,001,-01.47,001,-00.90,001,98.65,001,85.12,001,00.00,001,00.00,001,986.00,001,985.49,001,225.68,001,00.59,001,,,,,,,,,,,,,,,,,,
12/13/2012 2:00,201212130200,00.02,003,-00.90,001,-01.49,001,-00.91,001,96.55,001,83.87,001,00.00,001,00.00,001,986.00,001,985.27,001,209.45,001,00.60,001,,,,,,,,,,,,,,,,,,
12/13/2012 2:30,201212130230,00.02,003,-00.85,001,-01.44,001,-00.90,001,95.20,001,83.72,001,00.00,001,00.00,001,986.00,001,985.04,001,206.29,001,00.67,001,,,,,,,,,,,,,,,,,,
12/13/2012 3:00,201212130300,00.02,003,-00.66,001,-01.25,001,-00.74,001,93.25,001,82.29,001,00.00,001,00.00,001,985.50,001,984.80,001,207.96,001,00.66,001,,,,,,,,,,,,,,,,,,
12/13/2012 3:30,201212130330,00.02,003,-00.71,001,-01.35,001,-00.91,001,93.35,001,83.02,001,00.00,001,00.00,001,985.00,001,984.60,001,118.22,001,00.58,001,,,,,,,,,,,,,,,,,,
12/13/2012 4:00,201212130400,00.02,003,-00.73,001,-01.38,001,-00.89,001,94.00,001,83.70,001,00.00,001,00.00,001,985.00,001,984.37,001,188.99,001,00.54,001,,,,,,,,,,,,,,,,,,
12/13/2012 4:30,201212130430,00.02,003,-00.64,001,-01.33,001,-00.68,001,94.00,001,82.99,001,00.00,001,00.00,001,985.00,001,984.12,001,243.95,001,00.33,001,,,,,,,,,,,,,,,,,,
12/13/2012 5:00,201212130500,00.02,003,-00.52,001,-01.18,001,-00.52,001,93.85,001,82.36,001,00.00,001,00.00,001,984.50,001,983.84,001,219.75,001,00.50,001,,,,,,,,,,,,,,,,,,
12/13/2012 5:30,201212130530,00.02,003,-00.58,001,-01.22,001,-00.59,001,94.50,001,83.30,001,00.00,001,00.00,001,984.00,001,983.59,001,207.26,001,00.45,001,,,,,,,,,,,,,,,,,,
12/13/2012 6:00,201212130600,00.02,003,-00.54,001,-01.21,001,-00.65,001,95.05,001,84.22,001,00.00,001,00.00,001,984.00,001,983.44,001,194.21,001,00.47,001,,,,,,,,,,,,,,,,,,
12/13/2012 6:30,201212130630,00.02,003,-00.41,001,-01.07,001,-00.38,001,94.90,001,83.29,001,00.00,001,00.00,001,984.00,001,983.25,001,232.72,001,00.39,001,,,,,,,,,,,,,,,,,,
12/13/2012 7:00,201212130700,00.02,003,-00.18,001,-00.90,001,-00.22,001,93.95,001,82.52,001,00.00,001,00.00,001,984.00,001,983.04,001,259.89,001,00.32,001,,,,,,,,,,,,,,,,,,
12/13/2012 7:30,201212130730,00.02,003,-00.23,001,-00.89,001,-00.22,001,93.45,001,82.14,001,00.00,001,00.00,001,983.00,001,982.69,001,220.95,001,00.60,001,,,,,,,,,,,,,,,,,,
12/13/2012 8:00,201212130800,00.02,003,-00.37,001,-01.02,001,-00.41,001,94.95,001,83.88,001,00.00,001,00.00,001,983.00,001,982.50,001,232.22,001,00.44,001,,,,,,,,,,,,,,,,,,
12/13/2012 8:30,201212130830,00.02,003,-00.24,001,-00.88,001,-00.35,001,93.85,001,82.97,001,00.00,001,00.00,001,983.00,001,982.50,001,185.57,001,00.61,001,,,,,,,,,,,,,,,,,,
12/13/2012 9:00,201212130900,02.59,001,-00.41,001,-01.00,001,-00.46,001,94.75,001,83.87,001,00.00,001,00.00,001,983.00,001,982.42,001,197.76,001,00.78,001,,,,,,,,,,,,,,,,,,
12/13/2012 9:30,201212130930,07.66,001,-00.39,001,-01.04,001,-00.59,001,95.50,001,84.87,001,00.00,001,00.00,001,983.00,001,982.35,001,172.64,001,00.52,001,,,,,,,,,,,,,,,,,,
12/13/2012 10:00,201212131000,14.50,001,-00.14,001,-00.75,001,-00.34,001,94.15,001,83.45,001,00.00,001,00.00,001,983.00,001,982.39,001,187.89,001,00.56,001,,,,,,,,,,,,,,,,,,
12/13/2012 10:30,201212131030,18.20,001,00.25,001,-00.33,001,00.04,001,88.90,001,78.49,001,00.00,001,00.00,001,983.00,001,982.36,001,188.21,001,00.64,001,,,,,,,,,,,,,,,,,,
12/13/2012 11:00,201212131100,33.54,001,00.33,001,-00.31,001,00.18,001,89.50,001,78.86,001,00.00,001,00.00,001,983.00,001,982.18,001,222.76,001,00.50,001,,,,,,,,,,,,,,,,,,
12/13/2012 11:30,201212131130,37.20,001,00.48,001,-00.14,001,00.27,001,88.50,001,78.41,001,00.00,001,00.00,001,982.50,001,981.87,001,247.66,001,00.55,001,,,,,,,,,,,,,,,,,,
12/13/2012 12:00,201212131200,53.76,001,00.89,001,00.20,001,00.65,001,85.20,001,75.56,001,00.00,001,00.00,001,982.00,001,981.36,001,303.15,001,00.29,001,,,,,,,,,,,,,,,,,,
12/13/2012 12:30,201212131230,150.25,001,02.23,001,01.72,001,01.53,001,77.95,001,70.56,001,00.00,001,00.00,001,981.50,001,980.83,001,195.34,001,00.38,001,,,,,,,,,,,,,,,,,,
12/13/2012 13:00,201212131300,104.85,001,02.45,001,01.97,001,02.09,001,74.95,001,67.22,001,00.00,001,00.00,001,981.00,001,980.49,001,196.16,001,00.76,001,,,,,,,,,,,,,,,,,,
12/13/2012 13:30,201212131330,130.95,001,02.33,001,01.83,001,01.99,001,73.60,001,66.42,001,00.25,001,00.00,001,981.00,001,980.23,001,207.44,001,01.81,001,,,,,,,,,,,,,,,,,,
12/13/2012 14:00,201212131400,115.15,001,02.43,001,01.92,001,02.20,001,68.29,001,61.36,001,00.00,001,00.00,001,981.00,001,980.03,001,205.03,001,02.29,001,,,,,,,,,,,,,,,,,,
12/13/2012 14:30,201212131430,39.61,001,01.81,001,01.33,001,01.70,001,70.23,001,62.22,001,00.00,001,00.00,001,981.00,001,979.90,001,208.73,001,02.33,001,,,,,,,,,,,,,,,,,,
12/13/2012 15:00,201212131500,24.68,001,01.58,001,01.04,001,01.42,001,71.95,001,63.59,001,00.00,001,00.00,001,980.00,001,979.67,001,198.03,001,01.32,001,,,,,,,,,,,,,,,,,,
12/13/2012 15:30,201212131530,08.78,001,01.27,001,00.69,001,01.09,001,73.75,001,65.02,001,00.00,001,00.00,001,980.00,001,979.51,001,192.65,001,01.13,001,,,,,,,,,,,,,,,,,,
12/13/2012 16:00,201212131600,00.02,003,00.92,001,00.35,001,00.78,001,75.15,001,66.10,001,00.00,001,00.00,001,980.00,001,979.09,001,211.66,001,01.10,001,,,,,,,,,,,,,,,,,,
12/13/2012 16:30,201212131630,00.02,003,00.80,001,00.27,001,00.61,001,74.30,001,65.49,001,00.00,001,00.00,001,979.00,001,978.73,001,212.39,001,01.49,001,,,,,,,,,,,,,,,,,,
